measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1990,657440.0826499362,749091.2406464089,582099.224779951
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1990,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1990,20704.81337694382,23591.19066390363,18332.097683113065
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1991,663012.5332301408,758410.9777998097,585796.7939530252
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1991,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1991,20282.216088094516,23200.54986046455,17920.109444664282
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1993,684006.8336370366,782346.8583002574,602042.4031740486
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1993,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1993,19762.897844522562,22604.220132361515,17394.712928136087
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1992,672189.4893645924,765416.230899106,592236.5830416916
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1992,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1992,19983.251269585384,22754.75161376648,17606.36343949682
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1996,723079.8865178842,827716.3939747948,634162.6379042392
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1996,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1996,19243.999299279145,22028.788246841716,16877.561645681806
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1995,715385.9420514787,819105.3152011923,628823.1865237146
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1995,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1995,19553.275457092124,22388.18365729735,17187.30024893309
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1994,700765.0410898579,802910.3833410394,616537.1626531171
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1994,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1994,19685.50598862356,22554.916744999748,17319.422767924047
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1998,735142.9341923149,845360.743357922,638406.6206307282
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1998,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1998,18600.501624593624,21389.219903844223,16152.890590235536
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1997,726120.7727744081,836851.6650287694,634229.5406563325
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1997,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1997,18833.04113642798,21705.014404637528,16449.702965362558
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2001,760962.2794180636,877352.5737077224,657069.6636790159
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2001,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2001,17774.632042147125,20493.288025802438,15347.898067803537
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2002,768150.0885640418,893339.0589832817,663605.5742487602
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2002,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2002,17593.247220486694,20460.50003820249,15198.822597907072
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,1999,744549.1968498917,857622.3740078955,643719.4586308165
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,1999,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,1999,18380.839045711087,21172.299809515338,15891.634575318441
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2000,753743.0882138351,869463.6532054277,651063.3958273566
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2000,18085.71683065605,20862.378272263486,15621.96509641277
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2004,780093.9460112366,909500.9286231863,671198.5517169412
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2004,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2004,17275.361568402757,20141.109246010343,14863.847776779716
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2003,766985.2202646881,895855.6950146649,658822.6578772565
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2003,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2003,17267.71593406084,20169.07399347978,14832.570702237801
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2005,797502.1997013779,933170.9863693469,686039.0690860506
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2005,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2005,17357.079689202834,20309.816299102025,14931.162317159607
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2007,820152.6917848582,962439.5184614246,703743.9951672102
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2007,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2007,17193.67901686342,20176.579701955256,14753.287386788394
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2006,806890.6377114481,942303.6555347774,692015.8789382522
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2006,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2006,17235.095665373246,20127.5028980825,14781.383396994286
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2008,837270.8949631255,981414.2958283639,716135.9352325872
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2008,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2008,17238.877766599668,20206.699153114318,14744.78561957873
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2012,885953.7394691346,1043751.5975772663,754520.7433806971
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2012,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2012,17103.59615710876,20149.929977151583,14566.243712315782
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2011,869926.3563934923,1022860.6915846029,741885.864791924
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2011,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2011,17061.555647058045,20061.00226806455,14550.343109949119
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2010,851622.4823394621,1001996.1537108016,725994.2752948623
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2010,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2010,16961.727604162486,19956.713417162453,14459.596118112247
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2009,838533.6762727556,985533.4554894894,719337.5160844184
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2009,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2009,16970.86548709936,19945.95587441616,14558.485330673742
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2013,896217.987086013,1057150.925929489,760855.4030103679
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2013,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2013,17037.858710751338,20097.32941255726,14464.501987905629
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2015,923160.2209318784,1091404.491885993,783856.924013412
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2015,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2015,17044.46147228905,20150.78357021919,14472.481415682118
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Number,2014,908303.7164419532,1074001.8421558305,770399.8469525079
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Percent,2014,1.0,1.0,1.0
DALYs (Disability-Adjusted Life Years),Singapore,Both,All Ages,All causes,Rate,2014,17015.6899205061,20119.79252024104,14432.27047655373
Deaths,Singapore,Both,All Ages,All causes,Number,1991,13784.893960364521,13928.108320488176,13642.000944872667
Deaths,Singapore,Both,All Ages,All causes,Percent,1991,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1991,421.6936845725253,426.07475499482166,417.3224444037078
Deaths,Singapore,Both,All Ages,All causes,Number,1992,13995.76467395343,14143.284878284852,13848.479187880266
Deaths,Singapore,Both,All Ages,All causes,Percent,1992,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1992,416.07446503511176,420.46003392176976,411.6958739932543
Deaths,Singapore,Both,All Ages,All causes,Number,1990,13675.173013991207,13819.855251651343,13526.650474993232
Deaths,Singapore,Both,All Ages,All causes,Percent,1990,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1990,430.6733231275612,435.2298124697339,425.9958908666193
Deaths,Singapore,Both,All Ages,All causes,Number,1993,14316.363741094523,14495.819736488836,14144.635319983867
Deaths,Singapore,Both,All Ages,All causes,Percent,1993,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1993,413.6403617721962,418.8253545678187,408.6786405195511
Deaths,Singapore,Both,All Ages,All causes,Number,1994,14800.692229311033,15138.919793479656,14499.175869734347
Deaths,Singapore,Both,All Ages,All causes,Percent,1994,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1994,415.7729030870933,425.27420573427446,407.3028714016034
Deaths,Singapore,Both,All Ages,All causes,Number,1996,15230.647523251095,15403.801779888352,15049.660384135854
Deaths,Singapore,Both,All Ages,All causes,Percent,1996,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1996,405.34742527064077,409.955740970641,400.5306457650115
Deaths,Singapore,Both,All Ages,All causes,Number,1995,15213.095404663838,15379.520727097002,15037.937881375976
Deaths,Singapore,Both,All Ages,All causes,Percent,1995,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1995,415.8117003940354,420.3605180060218,411.0242100340655
Deaths,Singapore,Both,All Ages,All causes,Number,1998,15296.826652477388,15870.552754509343,14723.171930497307
Deaths,Singapore,Both,All Ages,All causes,Percent,1998,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1998,387.0385414411119,401.5548930192464,372.5239959128064
Deaths,Singapore,Both,All Ages,All causes,Number,1997,15125.25709029745,15309.192946001902,14938.656452354204
Deaths,Singapore,Both,All Ages,All causes,Percent,1997,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1997,392.2964328540427,397.0670876360425,387.4566629118584
Deaths,Singapore,Both,All Ages,All causes,Number,1999,15425.570542546904,16364.323341163294,14569.054173212924
Deaths,Singapore,Both,All Ages,All causes,Percent,1999,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,1999,380.8142303160398,403.9894135921521,359.6692346712201
Deaths,Singapore,Both,All Ages,All causes,Number,2000,15619.930771449306,16596.611677422192,14671.947663348128
Deaths,Singapore,Both,All Ages,All causes,Percent,2000,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2000,374.79301537122524,398.228022040664,352.04659909032557
Deaths,Singapore,Both,All Ages,All causes,Number,2001,15810.558689875854,16451.152157473472,15162.643825596451
Deaths,Singapore,Both,All Ages,All causes,Percent,2001,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2001,369.30459064045425,384.267636093717,354.1705312807564
Deaths,Singapore,Both,All Ages,All causes,Number,2003,15583.71986950167,15809.032259674319,15368.767792364917
Deaths,Singapore,Both,All Ages,All causes,Percent,2003,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2003,350.84802261205135,355.92065015053646,346.0086446040204
Deaths,Singapore,Both,All Ages,All causes,Number,2002,15869.978846111842,16076.956357857018,15651.016996806016
Deaths,Singapore,Both,All Ages,All causes,Percent,2002,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2002,363.47644214358803,368.216930477087,358.46147175688446
Deaths,Singapore,Both,All Ages,All causes,Number,2005,16293.420235078855,16511.8449478091,16046.291189502661
Deaths,Singapore,Both,All Ages,All causes,Percent,2005,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2005,354.61493841124184,359.3688000888264,349.2363469300031
Deaths,Singapore,Both,All Ages,All causes,Number,2004,15973.429298196927,16176.950071394733,15752.211128001061
Deaths,Singapore,Both,All Ages,All causes,Percent,2004,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2004,353.73530076042323,358.2423155394124,348.83637301566233
Deaths,Singapore,Both,All Ages,All causes,Number,2007,16503.12021405146,16731.27914599473,16264.153862806168
Deaths,Singapore,Both,All Ages,All causes,Percent,2007,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2007,345.97137164739564,350.7544949364576,340.96168164662157
Deaths,Singapore,Both,All Ages,All causes,Number,2006,16390.187486411272,16636.921282618834,16158.03447205741
Deaths,Singapore,Both,All Ages,All causes,Percent,2006,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2006,350.09260995133997,355.3628168204875,345.13384698596195
Deaths,Singapore,Both,All Ages,All causes,Number,2008,16824.10580384202,17045.111343190903,16581.45074557614
Deaths,Singapore,Both,All Ages,All causes,Percent,2008,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2008,346.3976894808295,350.94805364790636,341.40157542257464
Deaths,Singapore,Both,All Ages,All causes,Number,2009,16473.722789438034,16714.707434650667,16230.750998377229
Deaths,Singapore,Both,All Ages,All causes,Percent,2009,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2009,333.40740085002557,338.284626552562,328.4899578183024
Deaths,Singapore,Both,All Ages,All causes,Number,2010,16717.628956887875,16958.41910921247,16495.194472017807
Deaths,Singapore,Both,All Ages,All causes,Percent,2010,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2010,332.96428221955074,337.76008911543624,328.5340643467513
Deaths,Singapore,Both,All Ages,All causes,Number,2012,17643.788204323995,17902.301110567485,17391.706961994867
Deaths,Singapore,Both,All Ages,All causes,Percent,2012,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2012,340.61849358990105,345.60916088189634,335.7519914515809
Deaths,Singapore,Both,All Ages,All causes,Number,2011,17177.747101726003,17400.618780638648,16976.80109017202
Deaths,Singapore,Both,All Ages,All causes,Percent,2011,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2011,336.9010329589555,341.2721357815968,332.9599504374464
Deaths,Singapore,Both,All Ages,All causes,Number,2013,17843.728734272423,18075.97295833035,17622.046381508775
Deaths,Singapore,Both,All Ages,All causes,Percent,2013,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2013,339.22431085767676,343.63946914829893,335.00994263534943
Deaths,Singapore,Both,All Ages,All causes,Number,2015,18685.173230807493,18950.54111559684,18448.536676576317
Deaths,Singapore,Both,All Ages,All causes,Percent,2015,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2015,344.9874767286432,349.8870083437605,340.61841647228
Deaths,Singapore,Both,All Ages,All causes,Number,2014,18229.85978193104,18472.62538655525,18000.71591802846
Deaths,Singapore,Both,All Ages,All causes,Percent,2014,1.0,1.0,1.0
Deaths,Singapore,Both,All Ages,All causes,Rate,2014,341.50872194902746,346.0565666587588,337.2160598528882
